inputDataLabel,outputDataLabel,inputVersion,outputVersion,varId,used,name,nameWithinFile,datasetGroupPath,bitPosition,bitCount,type,divisor,unit,min,max,nodata_value,nodata_value2,resamplingFactor,comment,Comment_2
Data label of the file used as an input,Data label of the file generated as an output,version of the input,Version of the output,Unique id of the output variable,"1: included in the generation, 0: excluded",,Field name in the file,For .h5 files,,,,,,,,,,1: 2400x2400 for mod09ga. 2: 1200x1200,0,
,,,,,,,,,,,,,,,,,,,,
,vnp09ga,,v002,17,0,landwater,,,,,,,,,,,,,,
,vnp09ga,,v002,18,0,aerosol,,,,,,,,,,,,,,
,vnp09ga,,v002,19,0,cirrus,,,,,,,,,,,,,,
,vnp09ga,,v002,20,0,Intcloudflag,,,,,,,,,,,,,,
,vnp09ga,,v002,21,0,Intfireflag,,,,,,,,,,,,,,
,vnp09ga,,v002,22,0,MOD35snow,,,,,,,,,,,,,,
,vnp09ga,,v002,23,0,cloudadj,,,,,,,,,,,,,,
,vnp09ga,,v002,24,0,saltpan,,,,,,,,,,,,,,
,vnp09ga,,v002,25,0,Intsnow,,,,,,,,,,,,,,
,vnp09ga,,v002,26,0,modland,,,,,,,,,,,,,,
,vnp09ga,,v002,27,0,bandQA1,,,,,,,,,,,,,,
,vnp09ga,,v002,28,0,bandQA2,,,,,,,,,,,,,,
,vnp09ga,,v002,29,0,bandQA3,,,,,,,,,,,,,,
,vnp09ga,,v002,30,0,bandQA4,,,,,,,,,,,,,,
,vnp09ga,,v002,31,0,bandQA5,,,,,,,,,,,,,,
,vnp09ga,,v002,32,0,bandQA6,,,,,,,,,,,,,,
,vnp09ga,,v002,33,0,bandQA7,,,,,,,,,,,,,,
,vnp09ga,,v002,34,0,atmosCorr,,,,,,,,,,,,,,
,vnp09ga,,v002,35,0,adjCorr,,,,,,,,,,,,,,
,vnp09ga,,v002,52,0,refl,,,,,,,,,,,,,,
,vnp09ga,,v002,53,0,NoValues,,,,,,,,,,,,,,
,vnp09ga,,v002,68,1,sensor_azimuth,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/Sensor_Azimuth_1,,,,int16,100,degree,-18000,18000,-32768,,2,,
,vnp09ga,,v002,69,0,range,,,,,,,,,,,,,,
,vnp09ga,,v002,70,0,gflags,,,,,,,,,,,,,,
,vnp09ga,,v002,71,1,orbit_pnt,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/orbit_pnt_1,,,,int8,1,,0,15,-1,,2,,
,vnp09ga,,v002,72,1,obscov,/HDFEOS/GRIDS/VIIRS_Grid_500m_2D/Data Fields/obscov_500m_1,,,,int8,100,,0,100,-1,,1,,
,vnp09ga,,v002,73,1,iobs_res,/HDFEOS/GRIDS/VIIRS_Grid_500m_2D/Data Fields/iobs_res_1,,,,uint8,1,,0,254,255,,1,,
,vnp09ga,,v002,74,0,q_scan,,,,,,,,,,,,,,
,vnp09ga,,v002,100,1,metaData,,,,,struct,,,,,,,,,
,vnp09ga,,v002,102,1,reflectance_quality_flag_1,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SurfReflect_QF1_1,,,,uint8,1,Bit field,0,254,255,,2,,
,vnp09ga,,v002,103,1,reflectance_quality_flag_2,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SurfReflect_QF2_1,,,,uint8,1,Bit field,0,254,255,,2,,
,vnp09ga,,v002,104,1,reflectance_quality_flag_3,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SurfReflect_QF3_1,,,,uint8,1,Bit field,0,254,255,,2,,
,vnp09ga,,v002,105,1,reflectance_quality_flag_4,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SurfReflect_QF4_1,,,,uint8,1,Bit field,0,254,255,,2,,
,vnp09ga,,v002,106,1,reflectance_quality_flag_5,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SurfReflect_QF5_1,,,,uint8,1,Bit field,0,254,255,,2,,
,vnp09ga,,v002,107,1,reflectance_quality_flag_6,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SurfReflect_QF6_1,,,,uint8,1,Bit field,0,254,255,,2,,
,vnp09ga,,v002,108,1,reflectance_quality_flag_7,/HDFEOS/GRIDS/VIIRS_Grid_1km_2D/Data Fields/SurfReflect_QF7_1,,,,uint8,1,Bit field,0,254,255,,2,,
,,,,,,,,,,,,,,,,,,,,
backgroundreflectanceformodisforwateryear,backgroundreflectanceformodisforwateryear,v2025.0.1,v2025.0.1,1,1,reflectance_1_620_670,,,,,uint8,100,hundredth,0,160,0,,1,,
backgroundreflectanceformodisforwateryear,backgroundreflectanceformodisforwateryear,v2025.0.1,v2025.0.1,2,1,reflectance_2_841_876,,,,,uint8,100,hundredth,0,160,0,,1,,
backgroundreflectanceformodisforwateryear,backgroundreflectanceformodisforwateryear,v2025.0.1,v2025.0.1,3,1,reflectance_3_459_479,,,,,uint8,100,hundredth,0,160,0,,1,,
backgroundreflectanceformodisforwateryear,backgroundreflectanceformodisforwateryear,v2025.0.1,v2025.0.1,4,1,reflectance_4_545_565,,,,,uint8,100,hundredth,0,160,0,,1,,
backgroundreflectanceformodisforwateryear,backgroundreflectanceformodisforwateryear,v2025.0.1,v2025.0.1,5,1,reflectance_5_1230_1250,,,,,uint8,100,hundredth,0,160,0,,1,,
backgroundreflectanceformodisforwateryear,backgroundreflectanceformodisforwateryear,v2025.0.1,v2025.0.1,6,1,reflectance_6_1628_1652,,,,,uint8,100,hundredth,0,160,0,,1,,
backgroundreflectanceformodisforwateryear,backgroundreflectanceformodisforwateryear,v2025.0.1,v2025.0.1,7,1,reflectance_7_2105_2155,,,,,uint8,100,hundredth,0,160,0,,1,,
,,,,,,,,,,,,,,,,,,,,
backgroundreflectanceforviirsforwateryear,backgroundreflectanceforviirsforwateryear,v2025.0.1,v2025.0.1,1,1,reflectance_1_620_670,,,,,uint8,100,hundredth,0,160,0,,1,,
backgroundreflectanceforviirsforwateryear,backgroundreflectanceforviirsforwateryear,v2025.0.1,v2025.0.1,2,1,reflectance_2_841_876,,,,,uint8,100,hundredth,0,160,0,,1,,
backgroundreflectanceforviirsforwateryear,backgroundreflectanceforviirsforwateryear,v2025.0.1,v2025.0.1,3,1,reflectance_3_459_479,,,,,uint8,100,hundredth,0,160,0,,2,,
backgroundreflectanceforviirsforwateryear,backgroundreflectanceforviirsforwateryear,v2025.0.1,v2025.0.1,4,1,reflectance_4_545_565,,,,,uint8,100,hundredth,0,160,0,,2,,
backgroundreflectanceforviirsforwateryear,backgroundreflectanceforviirsforwateryear,v2025.0.1,v2025.0.1,5,1,reflectance_5_1230_1250,,,,,uint8,100,hundredth,0,160,0,,2,,
backgroundreflectanceforviirsforwateryear,backgroundreflectanceforviirsforwateryear,v2025.0.1,v2025.0.1,6,1,reflectance_6_1628_1652,,,,,uint8,100,hundredth,0,160,0,,1,,
backgroundreflectanceforviirsforwateryear,backgroundreflectanceforviirsforwateryear,v2025.0.1,v2025.0.1,7,1,reflectance_7_2105_2155,,,,,uint8,100,hundredth,0,160,0,,2,,
,,,,,,,,,,,,,,,,,,,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,48,0,albedo_clean_mu0,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,49,0,albedo_observed_mu0,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,50,0,albedo_clean_muZ,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,51,0,albedo_observed_muZ,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,43,0,deltavis,,,,,uint8,1,percent,0,75,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,41,0,grain_size,,,,,uint16,1,microns,10,1100,65535,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,42,0,drfs_grnsz,,,,,uint16,1,microns,10,1100,65535,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,44,0,radiative_forcing,,,,,uint16,1,W/m^2,0,500,65535,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,13,1,solar_azimuth,,,,,int16,1,degree,-180,180,32767,,2,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,14,1,solar_zenith,,,,,uint8,1,degree,0,90,255,,2,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,45,0,snow_cover_days,,,,,uint16,1,day,0,366,65535,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,40,0,snow_fraction,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,36,0,viewable_snow_fraction,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,38,0,vegetation_fraction,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,37,0,rock_fraction,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,39,0,other_fraction,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,46,0,viewable_snow_fraction_status,,,,,uint8,1,unitless,0,255,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,47,0,days_without_observation,,,,,uint16,1,day,0,366,65535,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,10,0,num_observations_1km,,,,,int8,1,unitless,0,122,-1,,2,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,11,1,state_1km,,,,,uint16,1,Bit field,0,65535,65535,,2,"Bits: cloud, cloudshadow, landwater, aerosol, cirrus, saltpan. Position: [1, 3, 4, 7, 9, 15]. Size: [2, 1, 3, 2, 2, 1]. Bits between 11 and 14 not used.",
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,12,1,sensor_zenith,,,,,uint8,1,degree,0,90,255,,2,,
