groupId,id,websiteDisplay,202402websiteDisplay,,Comment
Unique id of the group which include the subdivision. NB: A subdivision can be included in several groups.,Unique id used in the stat files. Called snowtod_id in the shapefiles,"1: link displayed on the website, even if the results for the group shouldn’t be displayed.","Previous version as a reminder 1: link displayed on the website, even if the results for the group shouldn’t be displayed.",,0
16473,21669,1,1,,
16473,21670,1,1,,
16473,21671,1,1,,
16473,21672,1,1,,
16473,21673,1,1,,
16473,21674,1,1,,
16474,21675,1,1,,
16475,21676,1,1,,
16476,21677,1,1,,
16476,21678,1,1,,
16477,21679,1,1,,
16478,21680,1,1,,
16480,21682,1,1,,
16480,21683,1,1,,
16480,21684,1,1,,
16480,21685,1,1,,
16480,21686,1,1,,
16480,21687,1,1,,
16480,21688,1,1,,
16481,21689,1,1,,
16482,21690,1,1,,
16483,21691,1,1,,
16483,21692,1,1,,
16483,21693,1,1,,
16483,21694,1,1,,
16483,21695,1,1,,
16483,21696,1,1,,
16483,21697,1,1,,
16484,21698,1,1,,
16485,21699,1,1,,
16486,21700,1,1,,
16500,21714,1,1,,
16561,21958,1,1,,
16561,21959,1,1,,
16561,21960,1,1,,
16561,21961,1,1,,
16561,21962,1,1,,
16561,21963,1,1,,
16561,21964,1,1,,
16586,22066,1,1,,
16586,22067,1,1,,
16586,22068,1,1,,
16586,22069,1,1,,
16586,22070,1,1,,
16587,22073,1,1,,
16587,22076,1,1,,
16587,22077,1,1,,
16587,22078,1,1,,
16587,22079,1,1,,
16587,22080,1,1,,
16587,22081,1,1,,
16587,22082,1,1,,
16634,22324,1,1,,
16634,22325,1,1,,
16634,22326,1,1,,
16634,22327,1,1,,
16634,22328,1,1,,
16634,22330,1,1,,
16678,22497,1,1,,
16678,22498,1,1,,
16678,22499,1,1,,
16678,22500,1,1,,
16678,22503,1,1,,
16678,22504,1,1,,
16680,22509,1,1,,
16680,22513,1,1,,
16680,22514,1,1,,
16680,22515,1,1,,
16680,22516,1,1,,
16682,22518,1,1,,
16683,22519,1,1,,
16684,22520,1,1,,
16685,22522,1,1,,
16685,22526,1,1,,
16685,22527,1,1,,
16685,22528,1,1,,
16685,22529,1,1,,
16685,22530,1,1,,
16686,22531,1,1,,
16686,22532,1,1,,
16688,22533,1,1,,
16688,22534,1,1,,
16688,22535,1,1,,
16688,22536,1,1,,
16688,22537,1,1,,
16688,22538,1,1,,
16688,22539,1,1,,
16688,22540,1,1,,
16688,22541,1,1,,
16688,22542,1,1,,
16688,22543,1,1,,
16688,22544,1,1,,
16688,22545,1,1,,
16700,22612,1,1,,
16700,22615,1,1,,
16700,22616,1,1,,
16700,22617,1,1,,
16700,22618,1,1,,
16725,22700,1,1,,
16725,22702,1,1,,
16725,22703,1,1,,
16725,22704,1,1,,
16725,22705,1,1,,
16725,22706,1,1,,
16732,22739,1,1,,
16732,22740,1,1,,
16732,22741,1,1,,
16736,22746,1,1,,
16736,22752,1,1,,
16736,22753,1,1,,
16736,22754,1,1,,
16736,22755,1,1,,
16743,22763,1,1,,
16743,22764,1,1,,
16743,22765,1,1,,
16743,22766,1,1,,
16743,22767,1,1,,
16743,22770,1,1,,
16743,22772,1,1,,
16743,22776,1,1,,
16744,22778,1,1,,
16744,22779,1,1,,
16744,22780,1,1,,
16744,22781,1,1,,
16744,22782,1,1,,
16744,22783,1,1,,
16744,22785,1,1,,
16745,22786,1,1,,
16746,22787,1,1,,
16747,22788,1,1,,
16748,22789,1,1,,
16748,22790,1,1,,
16748,22791,1,1,,
16748,22792,1,1,,
16748,22793,1,1,,
16748,22794,1,1,,
16748,22795,1,1,,
16748,22796,1,1,,
16748,22797,1,1,,
16748,22798,1,1,,
16748,22799,1,1,,
16766,22880,1,1,,
16766,22883,1,1,,
16771,22888,1,1,,
16771,22890,1,1,,
16771,22892,1,1,,
16771,22893,1,1,,
16771,22894,1,1,,
16771,22895,1,1,,
16771,22896,1,1,,
16771,22897,1,1,,
16771,22898,1,1,,
16771,22899,1,1,,
16772,22903,1,1,,
16772,22904,1,1,,
16772,22905,1,1,,
16772,22906,1,1,,
16772,22907,1,1,,
16772,22908,1,1,,
16773,22909,1,1,,
16774,22910,1,1,,
16775,22911,1,1,,
16775,22912,1,1,,
16775,22913,1,1,,
16776,22914,1,1,,
16779,22918,1,1,,
16779,22919,1,1,,
16779,22920,1,1,,
16779,22921,1,1,,
16779,22922,1,1,,
16779,22923,1,1,,
16779,22924,1,1,,
16779,22925,1,1,,
16780,22926,1,1,,
16780,22927,1,1,,
16782,22928,1,1,,
16782,22929,1,1,,
16783,22930,1,1,,
16784,22931,1,1,,
16785,22932,1,1,,
16786,22933,1,1,,
16787,22934,1,1,,
16787,22935,1,1,,
16787,22936,1,1,,
16787,22937,1,1,,
16787,22938,1,1,,
16787,22939,1,1,,
16787,22940,1,1,,
16787,22941,1,1,,
16787,22942,1,1,,
16788,22943,1,1,,
16789,22944,1,1,,
16789,22945,1,1,,
16789,22946,1,1,,
16789,22947,1,1,,
16789,22948,1,1,,
16789,22949,1,1,,
16789,22950,1,1,,
16789,22951,1,1,,
16789,22952,1,1,,
16789,22953,1,1,,
16789,22954,1,1,,
16790,22955,1,1,,
16790,22956,1,1,,
16790,22957,1,1,,
16790,22958,1,1,,
16790,22959,1,1,,
16790,22960,1,1,,
16790,22961,1,1,,
16790,22962,1,1,,
16790,22963,1,1,,
16790,22964,1,1,,
16790,22965,1,1,,
16790,22966,1,1,,
16791,22967,1,1,,
16793,22969,1,1,,
16793,22973,1,1,,
16793,22975,1,1,,
16794,22976,1,1,,
16794,22977,1,1,,
16794,22978,1,1,,
16794,22979,1,1,,
16794,22980,1,1,,
